index_id;index;read;hit;data_hora
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943235
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
null;null;null;null;2021-10-09T16:08:07.943735200
3604;pg_ts_dict_dictname_index;0;0;2021-10-09T16:13:58.893704800
16402;fornecedor_pkey;0;0;2021-10-09T16:13:58.894205900
16410;comprador_pkey;0;0;2021-10-09T16:13:58.894205900
16415;pedido_pkey;0;0;2021-10-09T16:13:58.894205900
24590;pessoa_fisica_pkey;0;0;2021-10-09T16:13:58.894205900
4160;pg_toast_2600_index;0;0;2021-10-09T16:13:58.894205900
2831;pg_toast_2604_index;0;0;2021-10-09T16:13:58.894205900
4162;pg_toast_3456_index;0;0;2021-10-09T16:13:58.894205900
2833;pg_toast_2606_index;0;0;2021-10-09T16:13:58.894205900
4144;pg_toast_826_index;0;0;2021-10-09T16:13:58.894704900
2835;pg_toast_2609_index;0;0;2021-10-09T16:13:58.894704900
4146;pg_toast_3466_index;0;0;2021-10-09T16:13:58.894704900
4148;pg_toast_3079_index;0;0;2021-10-09T16:13:58.894704900
4150;pg_toast_2328_index;0;0;2021-10-09T16:13:58.894704900
4152;pg_toast_1417_index;0;0;2021-10-09T16:13:58.894704900
4154;pg_toast_3118_index;0;0;2021-10-09T16:13:58.894704900
4156;pg_toast_3394_index;0;0;2021-10-09T16:13:58.894704900
4158;pg_toast_2612_index;0;0;2021-10-09T16:13:58.894704900
4164;pg_toast_2615_index;0;0;2021-10-09T16:13:58.895205100
4166;pg_toast_3350_index;0;0;2021-10-09T16:13:58.895205100
4168;pg_toast_3256_index;0;0;2021-10-09T16:13:58.895205100
2837;pg_toast_1255_index;0;0;2021-10-09T16:13:58.895205100
2682;pg_language_oid_index;0;0;2021-10-09T16:13:58.895205100
2683;pg_largeobject_loid_pn_index;0;0;2021-10-09T16:13:58.895205100
2996;pg_largeobject_metadata_oid_index;0;0;2021-10-09T16:13:58.895205100
2754;pg_opfamily_am_name_nsp_index;0;0;2021-10-09T16:13:58.895205100
2755;pg_opfamily_oid_index;0;0;2021-10-09T16:13:58.895205100
2692;pg_rewrite_oid_index;0;0;2021-10-09T16:13:58.895205100
5002;pg_sequence_seqrelid_index;0;0;2021-10-09T16:13:58.895705100
3380;pg_statistic_ext_oid_index;0;0;2021-10-09T16:13:58.895705100
